,block_start,block_end,snp_vec_start,snp_vec_end,types,genome1,genome2,start_site,end_site,contig
97,20630,20808,206300.0,208080.0,0,700014486,ERR912153,3824412,3840024,NC_009614
98,21167,21207,211670.0,212070.0,0,700014486,ERR912153,3890004,3892573,NC_009614
99,25885,26290,258850.0,262900.0,0,700014486,ERR912153,4810243,4879855,NC_009614
100,3447,3450,34470.0,34500.0,1,700014486,ERR912153,557039,558616,NC_009614
101,344,358,3440.0,3580.0,0,700014562,700024711,73665,75179,NC_009614
102,1238,1430,12380.0,14300.0,0,700014562,700024711,224714,263691,NC_009614
103,1996,2374,19960.0,23740.0,0,700014562,700024711,353246,389048,NC_009614
104,3004,3924,30040.0,39240.0,0,700014562,700024711,457376,633337,NC_009614
105,4106,4357,41060.0,43570.0,0,700014562,700024711,656154,715229,NC_009614
106,4980,5245,49800.0,52450.0,0,700014562,700024711,781771,822608,NC_009614
107,7064,7308,70640.0,73080.0,0,700014562,700024711,1407460,1430597,NC_009614
108,7548,7771,75480.0,77710.0,0,700014562,700024711,1451308,1486308,NC_009614
109,8710,8881,87100.0,88810.0,0,700014562,700024711,1690583,1716301,NC_009614
110,9791,9967,97910.0,99670.0,0,700014562,700024711,1846107,1865114,NC_009614
111,10445,10471,104450.0,104710.0,0,700014562,700024711,1939081,1945232,NC_009614
112,10615,10661,106150.0,106610.0,0,700014562,700024711,1963036,1967084,NC_009614
113,11041,11166,110410.0,111660.0,0,700014562,700024711,2125325,2135210,NC_009614
114,12174,12308,121740.0,123080.0,0,700014562,700024711,2364001,2374377,NC_009614
115,14874,15058,148740.0,150580.0,0,700014562,700024711,2828578,2895584,NC_009614
116,15817,16073,158170.0,160730.0,0,700014562,700024711,2994334,3019000,NC_009614
117,17345,17721,173450.0,177210.0,0,700014562,700024711,3262023,3302714,NC_009614
118,17844,17890,178440.0,178900.0,0,700014562,700024711,3337146,3341183,NC_009614
119,17986,18354,179860.0,183540.0,0,700014562,700024711,3354452,3444317,NC_009614
120,18443,18705,184430.0,187050.0,0,700014562,700024711,3451256,3477597,NC_009614
121,19529,19624,195290.0,196240.0,0,700014562,700024711,3673191,3684952,NC_009614
122,20017,20064,200170.0,200640.0,0,700014562,700024711,3768976,3775203,NC_009614
123,20394,20416,203940.0,204160.0,0,700014562,700024711,3808833,3810980,NC_009614
124,20562,20614,205620.0,206140.0,0,700014562,700024711,3828058,3831970,NC_009614
125,20866,21000,208660.0,210000.0,0,700014562,700024711,3869881,3883398,NC_009614
126,21602,21653,216020.0,216530.0,0,700014562,700024711,3985407,3989216,NC_009614
127,21998,22207,219980.0,222070.0,0,700014562,700024711,4062714,4108581,NC_009614
128,23111,23164,231110.0,231640.0,0,700014562,700024711,4316813,4321350,NC_009614
129,24444,24511,244440.0,245110.0,0,700014562,700024711,4677991,4682815,NC_009614
130,25230,25320,252300.0,253200.0,0,700014562,700024711,4757797,4767982,NC_009614
131,25627,26206,256270.0,262060.0,0,700014562,700024711,4803892,4891621,NC_009614
132,26711,26778,267110.0,267780.0,0,700014562,700024711,5013085,5017945,NC_009614
133,27164,27197,271640.0,271970.0,0,700014562,700024711,5068033,5088418,NC_009614
134,5659,5680,56590.0,56800.0,1,700014562,700024711,1063043,1066382,NC_009614
135,6240,6242,62400.0,62420.0,1,700014562,700024711,1168685,1168817,NC_009614
136,13857,13858,138570.0,138580.0,1,700014562,700024711,2581263,2581335,NC_009614
137,19432,19448,194320.0,194480.0,1,700014562,700024711,3661961,3665331,NC_009614
138,22846,22851,228460.0,228510.0,1,700014562,700024711,4182136,4182475,NC_009614
139,26528,26531,265280.0,265310.0,1,700014562,700024711,4946854,4947040,NC_009614
140,3910,5032,39100.0,50320.0,0,700015415,700111296,651403,817477,NC_009614
141,5049,5097,50490.0,50970.0,1,700015415,700111296,818737,822656,NC_009614
142,3652,5032,36520.0,50320.0,0,700015415,SRR341723,603158,817474,NC_009614
143,17192,17284,171920.0,172840.0,0,700015415,SRR341723,3299250,3313578,NC_009614
144,19031,19094,190310.0,190940.0,0,700015415,SRR341723,3696545,3701160,NC_009614
145,5049,5097,50490.0,50970.0,1,700015415,SRR341723,818725,822656,NC_009614
146,3723,3782,37230.0,37820.0,0,700016142,ERR912152,757201,761513,NC_009614
147,10488,10585,104880.0,105850.0,0,700016142,ERR912152,2473142,2483941,NC_009614
148,11498,11553,114980.0,115530.0,0,700016142,ERR912152,2656107,2660473,NC_009614
149,15428,15698,154280.0,156980.0,0,700016142,ERR912152,3687760,3770147,NC_009614
150,16344,16376,163440.0,163760.0,0,700016142,ERR912152,3883704,3889944,NC_009614
151,20165,20330,201650.0,203300.0,0,700016142,ERR912152,4946803,5018182,NC_009614
152,1045,1056,10450.0,10560.0,1,700016142,ERR912152,262716,263748,NC_009614
153,4738,4741,47380.0,47410.0,1,700016142,ERR912152,1133310,1150410,NC_009614
154,5135,5176,51350.0,51760.0,1,700016142,ERR912152,1312129,1315350,NC_009614
155,6430,6438,64300.0,64380.0,1,700016142,ERR912152,1595771,1596350,NC_009614
156,6865,6924,68650.0,69240.0,1,700016142,ERR912152,1674504,1687398,NC_009614
157,7677,7736,76770.0,77360.0,1,700016142,ERR912152,1819378,1823806,NC_009614
158,9612,9626,96120.0,96260.0,1,700016142,ERR912152,2266836,2282776,NC_009614
159,14258,14294,142580.0,142940.0,1,700016142,ERR912152,3310735,3314792,NC_009614
160,16845,17199,168450.0,171990.0,1,700016142,ERR912152,3987666,4110680,NC_009614
161,19363,19421,193630.0,194210.0,1,700016142,ERR912152,4779496,4786197,NC_009614
162,8963,9100,89630.0,91000.0,0,700016765,700021902,1758857,1783617,NC_009614
163,9337,9561,93370.0,95610.0,0,700016765,700021902,1808158,1832602,NC_009614
164,11081,11138,110810.0,111380.0,0,700016765,700021902,2160819,2164547,NC_009614
165,11739,12150,117390.0,121500.0,0,700016765,700021902,2313504,2384367,NC_009614
166,13119,13222,131190.0,132220.0,0,700016765,700021902,2509969,2525581,NC_009614
167,16026,16136,160260.0,161360.0,0,700016765,700021902,3068263,3099390,NC_009614
168,17473,17830,174730.0,178300.0,0,700016765,700021902,3338367,3429147,NC_009614
169,18399,18809,183990.0,188090.0,0,700016765,700021902,3521767,3654888,NC_009614
170,19578,19738,195780.0,197380.0,0,700016765,700021902,3792921,3809981,NC_009614
171,20229,20579,202290.0,205790.0,0,700016765,700021902,3875735,3916655,NC_009614
172,25014,25631,250140.0,256310.0,0,700016765,700021902,4825606,4914500,NC_009614
173,5108,5113,51080.0,51130.0,1,700016765,700021902,822263,822644,NC_009614
174,760,1688,7600.0,16880.0,0,700016765,700023390,122230,324935,NC_009614
175,7472,7749,74720.0,77490.0,0,700016765,700023390,1473455,1574311,NC_009614
176,247,1386,2470.0,13860.0,0,700016765,700033922,67375,287050,NC_009614
177,1979,2002,19790.0,20020.0,0,700016765,700033922,360303,362120,NC_009614
178,5506,5587,55060.0,55870.0,0,700016765,700033922,1063064,1085204,NC_009614
179,7909,10137,79090.0,101370.0,0,700016765,700033922,1595565,1902823,NC_009614
180,10,992,100.0,9920.0,0,700016765,700161743,993,143411,NC_009614
181,1871,2107,18710.0,21070.0,0,700016765,700161743,351142,367985,NC_009614
182,2651,2749,26510.0,27490.0,0,700016765,700161743,437809,445419,NC_009614
183,3670,3754,36700.0,37540.0,0,700016765,700161743,603716,610340,NC_009614
184,4012,4076,40120.0,40760.0,0,700016765,700161743,658212,663096,NC_009614
185,5579,5603,55790.0,56030.0,0,700016765,700161743,1083641,1085419,NC_009614
186,6163,6185,61630.0,61850.0,0,700016765,700161743,1178675,1181460,NC_009614
187,6663,8082,66630.0,80820.0,0,700016765,700161743,1344619,1615910,NC_009614
188,8308,8540,83080.0,85400.0,0,700016765,700161743,1643800,1692806,NC_009614
189,9133,9908,91330.0,99080.0,0,700016765,700161743,1789788,1877286,NC_009614
190,10281,10489,102810.0,104890.0,0,700016765,700161743,1947437,1973467,NC_009614
191,11784,12114,117840.0,121140.0,0,700016765,700161743,2352201,2384361,NC_009614
192,12387,13087,123870.0,130870.0,0,700016765,700161743,2433684,2511229,NC_009614
193,14053,14080,140530.0,140800.0,0,700016765,700161743,2660329,2677428,NC_009614
194,15369,16215,153690.0,162150.0,0,700016765,700161743,2990243,3117738,NC_009614
195,17415,17684,174150.0,176840.0,0,700016765,700161743,3339343,3423041,NC_009614
196,18652,18757,186520.0,187570.0,0,700016765,700161743,3644107,3655293,NC_009614
197,19260,19757,192600.0,197570.0,0,700016765,700161743,3755183,3821893,NC_009614
198,19926,20519,199260.0,205190.0,0,700016765,700161743,3836279,3911165,NC_009614
199,21143,21218,211430.0,212180.0,0,700016765,700161743,4052345,4065155,NC_009614
200,23142,23185,231420.0,231850.0,0,700016765,700161743,4493078,4496150,NC_009614
201,24957,25495,249570.0,254950.0,0,700016765,700161743,4821038,4905082,NC_009614
202,25697,25937,256970.0,259370.0,0,700016765,700161743,4982828,5019709,NC_009614
203,26423,26666,264230.0,266660.0,0,700016765,700161743,5097318,5162822,NC_009614
204,11030,11036,110300.0,110360.0,1,700016765,700161743,2147107,2147938,NC_009614
205,13120,13160,131200.0,131600.0,1,700016765,700161743,2516377,2520464,NC_009614
206,17711,17727,177110.0,177270.0,1,700016765,700161743,3424757,3425906,NC_009614
207,401,809,4010.0,8090.0,0,700021361,700034794,82348,128327,NC_009614
208,1093,1557,10930.0,15570.0,0,700021361,700034794,216719,317522,NC_009614
209,3842,4481,38420.0,44810.0,0,700021361,700034794,657270,764567,NC_009614
210,5111,5187,51110.0,51870.0,0,700021361,700034794,865976,878694,NC_009614
211,6650,6891,66500.0,68910.0,0,700021361,700034794,1374052,1411455,NC_009614
212,7849,8075,78490.0,80750.0,0,700021361,700034794,1581905,1610597,NC_009614
213,9600,11467,96000.0,114670.0,0,700021361,700034794,1828738,2194619,NC_009614
214,11810,12742,118100.0,127420.0,0,700021361,700034794,2316693,2468477,NC_009614
215,13355,13426,133550.0,134260.0,0,700021361,700034794,2549292,2556029,NC_009614
216,14705,14877,147050.0,148770.0,0,700021361,700034794,2865735,2906104,NC_009614
217,16404,16445,164040.0,164450.0,0,700021361,700034794,3147980,3151366,NC_009614
218,19145,19317,191450.0,193170.0,0,700021361,700034794,3716595,3773736,NC_009614
219,19970,20311,199700.0,203110.0,0,700021361,700034794,3846484,3892615,NC_009614
220,23437,23561,234370.0,235610.0,0,700021361,700034794,4669937,4678777,NC_009614
221,24717,25139,247170.0,251390.0,0,700021361,700034794,4803562,4883366,NC_009614
222,25503,25902,255030.0,259020.0,0,700021361,700034794,4923788,5037592,NC_009614
223,458,810,4580.0,8100.0,0,700021361,700111745,100479,128339,NC_009614
224,1092,1570,10920.0,15700.0,0,700021361,700111745,216731,317513,NC_009614
225,3701,4308,37010.0,43080.0,0,700021361,700111745,638394,758527,NC_009614
226,5018,5093,50180.0,50930.0,0,700021361,700111745,866012,878676,NC_009614
227,7876,8019,78760.0,80190.0,0,700021361,700111745,1596725,1612535,NC_009614
228,8945,10757,89450.0,107570.0,0,700021361,700111745,1761360,2116210,NC_009614
229,11451,12707,114510.0,127070.0,0,700021361,700111745,2240730,2468504,NC_009614
230,13324,13396,133240.0,133960.0,0,700021361,700111745,2549253,2556041,NC_009614
231,14675,14848,146750.0,148480.0,0,700021361,700111745,2865681,2906089,NC_009614
232,19183,19372,191830.0,193720.0,0,700021361,700111745,3717066,3773805,NC_009614
233,19591,19629,195910.0,196290.0,0,700021361,700111745,3797429,3803112,NC_009614
234,20148,20262,201480.0,202620.0,0,700021361,700111745,3868345,3879237,NC_009614
235,21141,21310,211410.0,213100.0,0,700021361,700111745,4049135,4070964,NC_009614
236,23564,23690,235640.0,236900.0,0,700021361,700111745,4669925,4678798,NC_009614
237,24168,25718,241680.0,257180.0,0,700021361,700111745,4723641,4946923,NC_009614
238,25954,26082,259540.0,260820.0,0,700021361,700111745,5016781,5037643,NC_009614
239,458,811,4580.0,8110.0,0,700021361,700161872,100443,128357,NC_009614
240,1096,1571,10960.0,15710.0,0,700021361,700161872,216707,317531,NC_009614
241,3736,4434,37360.0,44340.0,0,700021361,700161872,638448,758527,NC_009614
242,5144,5219,51440.0,52190.0,0,700021361,700161872,866012,878676,NC_009614
243,7900,8125,79000.0,81250.0,0,700021361,700161872,1581938,1610543,NC_009614
244,9750,12843,97500.0,128430.0,0,700021361,700161872,1846191,2468504,NC_009614
245,13240,13277,132400.0,132770.0,0,700021361,700161872,2509939,2514542,NC_009614
246,13462,13534,134620.0,135340.0,0,700021361,700161872,2549253,2556041,NC_009614
247,14818,14992,148180.0,149920.0,0,700021361,700161872,2865705,2906092,NC_009614
248,19372,19564,193720.0,195640.0,0,700021361,700161872,3716631,3773757,NC_009614
249,19786,19828,197860.0,198280.0,0,700021361,700161872,3797429,3803112,NC_009614
250,20348,20464,203480.0,204640.0,0,700021361,700161872,3868384,3879264,NC_009614
251,23780,23906,237800.0,239060.0,0,700021361,700161872,4669925,4678789,NC_009614
252,25216,26339,252160.0,263390.0,0,700021361,700161872,4820622,5037646,NC_009614
253,458,810,4580.0,8100.0,0,700021361,700163811,100446,128333,NC_009614
254,1095,1575,10950.0,15750.0,0,700021361,700163811,216722,317510,NC_009614
255,3685,4384,36850.0,43840.0,0,700021361,700163811,638406,758488,NC_009614
256,5094,5170,50940.0,51700.0,0,700021361,700163811,865982,878703,NC_009614
257,7848,8073,78480.0,80730.0,0,700021361,700163811,1581947,1610546,NC_009614
258,9696,12772,96960.0,127720.0,0,700021361,700163811,1846146,2468492,NC_009614
259,13392,13463,133920.0,134630.0,0,700021361,700163811,2549286,2556020,NC_009614
260,14747,14920,147470.0,149200.0,0,700021361,700163811,2865675,2906089,NC_009614
261,19246,19439,192460.0,194390.0,0,700021361,700163811,3716622,3773727,NC_009614
262,19665,19706,196650.0,197060.0,0,700021361,700163811,3797441,3803148,NC_009614
263,20226,20341,202260.0,203410.0,0,700021361,700163811,3868321,3879252,NC_009614
264,23664,23790,236640.0,237900.0,0,700021361,700163811,4669934,4678786,NC_009614
265,25099,26220,250990.0,262200.0,0,700021361,700163811,4820622,5037574,NC_009614
266,676,802,6760.0,8020.0,0,700021361,700172498,118050,127622,NC_009614
267,1273,1298,12730.0,12980.0,0,700021361,700172498,255323,263691,NC_009614
268,3945,4382,39450.0,43820.0,0,700021361,700172498,693669,758488,NC_009614
269,11870,12809,118700.0,128090.0,0,700021361,700172498,2316741,2468504,NC_009614
270,25868,26276,258680.0,262760.0,0,700021361,700172498,4923830,5037637,NC_009614
271,460,813,4600.0,8130.0,0,700021361,ERR912110,100446,128375,NC_009614
272,1133,1343,11330.0,13430.0,0,700021361,ERR912110,219480,280740,NC_009614
273,1451,1614,14510.0,16140.0,0,700021361,ERR912110,302715,317510,NC_009614
274,3762,4463,37620.0,44630.0,0,700021361,ERR912110,638430,758515,NC_009614
275,5173,5248,51730.0,52480.0,0,700021361,ERR912110,866009,878658,NC_009614
276,7938,8191,79380.0,81910.0,0,700021361,ERR912110,1581926,1612529,NC_009614
277,9101,10961,91010.0,109610.0,0,700021361,ERR912110,1758917,2116180,NC_009614
278,11298,12962,112980.0,129620.0,0,700021361,ERR912110,2160825,2468483,NC_009614
279,13583,13655,135830.0,136550.0,0,700021361,ERR912110,2549268,2556056,NC_009614
280,14941,15116,149410.0,151160.0,0,700021361,ERR912110,2865681,2906089,NC_009614
281,19527,19740,195270.0,197400.0,0,700021361,ERR912110,3716625,3774474,NC_009614
282,19964,20007,199640.0,200070.0,0,700021361,ERR912110,3797447,3803124,NC_009614
283,20530,20648,205300.0,206480.0,0,700021361,ERR912110,3868411,3879201,NC_009614
284,21504,21723,215040.0,217230.0,0,700021361,ERR912110,4046168,4072928,NC_009614
285,24002,24128,240020.0,241280.0,0,700021361,ERR912110,4669934,4678786,NC_009614
286,24612,26179,246120.0,261790.0,0,700021361,ERR912110,4723620,4946554,NC_009614
287,26418,26546,264180.0,265460.0,0,700021361,ERR912110,5016781,5037643,NC_009614
288,763,1683,7630.0,16830.0,0,700021902,700023390,122251,324641,NC_009614
289,7496,7773,74960.0,77730.0,0,700021902,700023390,1473485,1574254,NC_009614
290,8923,9048,89230.0,90480.0,0,700021902,700023390,1758854,1783638,NC_009614
291,9288,9510,92880.0,95100.0,0,700021902,700023390,1808182,1832545,NC_009614
292,11040,11097,110400.0,110970.0,0,700021902,700023390,2160825,2164556,NC_009614
293,11699,12109,116990.0,121090.0,0,700021902,700023390,2313513,2384367,NC_009614
294,13079,13181,130790.0,131810.0,0,700021902,700023390,2509954,2525575,NC_009614
295,16005,16116,160050.0,161160.0,0,700021902,700023390,3068251,3099396,NC_009614
296,17465,17827,174650.0,178270.0,0,700021902,700023390,3338364,3429117,NC_009614
297,18405,18824,184050.0,188240.0,0,700021902,700023390,3521773,3654906,NC_009614
298,19609,19770,196090.0,197700.0,0,700021902,700023390,3792951,3809942,NC_009614
299,20264,20618,202640.0,206180.0,0,700021902,700023390,3875696,3916655,NC_009614
300,25083,25718,250830.0,257180.0,0,700021902,700023390,4824835,4914509,NC_009614
301,5071,5076,50710.0,50760.0,1,700021902,700023390,822257,822626,NC_009614
302,249,1385,2490.0,13850.0,0,700021902,700033922,67357,287044,NC_009614
303,1980,2003,19800.0,20030.0,0,700021902,700033922,360279,362096,NC_009614
304,5518,5599,55180.0,55990.0,0,700021902,700033922,1063079,1085180,NC_009614
305,7937,8187,79370.0,81870.0,0,700021902,700033922,1595541,1621960,NC_009614
306,8338,10167,83380.0,101670.0,0,700021902,700033922,1637821,1902772,NC_009614
307,11104,11161,111040.0,111610.0,0,700021902,700033922,2160831,2164562,NC_009614
308,11763,12175,117630.0,121750.0,0,700021902,700033922,2313504,2384355,NC_009614
309,13146,13249,131460.0,132490.0,0,700021902,700033922,2509957,2525593,NC_009614
310,16073,16183,160730.0,161830.0,0,700021902,700033922,3068278,3099249,NC_009614
311,17527,17885,175270.0,178850.0,0,700021902,700033922,3338367,3429123,NC_009614
312,18450,18542,184500.0,185420.0,0,700021902,700033922,3521713,3543962,NC_009614
313,19643,19805,196430.0,198050.0,0,700021902,700033922,3792933,3809981,NC_009614
314,20296,20649,202960.0,206490.0,0,700021902,700033922,3875717,3916616,NC_009614
315,25100,25729,251000.0,257290.0,0,700021902,700033922,4824799,4914476,NC_009614
316,5097,5102,50970.0,51020.0,1,700021902,700033922,822266,822650,NC_009614
317,9016,9152,90160.0,91520.0,0,700021902,700113705,1758857,1783611,NC_009614
318,9393,9616,93930.0,96160.0,0,700021902,700113705,1808173,1832578,NC_009614
319,11148,11204,111480.0,112040.0,0,700021902,700113705,2160873,2164535,NC_009614
320,11806,12218,118060.0,122180.0,0,700021902,700113705,2313504,2384367,NC_009614
321,13189,13291,131890.0,132910.0,0,700021902,700113705,2509972,2525581,NC_009614
322,16113,16224,161130.0,162240.0,0,700021902,700113705,3068251,3099396,NC_009614
323,17572,17935,175720.0,179350.0,0,700021902,700113705,3338352,3429138,NC_009614
324,18512,18605,185120.0,186050.0,0,700021902,700113705,3521764,3543941,NC_009614
325,19719,19881,197190.0,198810.0,0,700021902,700113705,3792951,3809951,NC_009614
326,20375,20728,203750.0,207280.0,0,700021902,700113705,3875738,3916625,NC_009614
327,25188,25822,251880.0,258220.0,0,700021902,700113705,4824826,4914509,NC_009614
328,5129,5134,51290.0,51340.0,1,700021902,700113705,822260,822638,NC_009614
329,8981,9119,89810.0,91190.0,0,700021902,SRR341721,1758827,1783593,NC_009614
330,9360,9584,93600.0,95840.0,0,700021902,SRR341721,1808155,1832593,NC_009614
